"name"	"SN2002gh"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"5"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"-052157"
"galra"	"030529"
"host"	"A030529-0521"
"maxday"	"6"
"maxmonth"	"10"
"maxyear"	"2002"
"sndec"	"-052157.0"
"snra"	"030529.46"
"photometry"	"timeunit"	"MJD"	"time"	"52552.41"	"band"	"C"	"abmag"	"19.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52553.0"	"band"	"C"	"abmag"	"19.2"	"source"	"1,2"
