"name"	"SN2002gz"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07900/07996.html#Item1'>IAUC 7996</a>"	"alias"	"4"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"5"
"aliases"	"SN2002gz"
"claimedtype"	"Ic"
"discoverday"	"14"
"discoverer"	"Nearby Supernova Factory"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"-005318"
"galra"	"023410"
"host"	"A023410-0053"
"hvel"	"25500"
"maxday"	"14"
"maxmonth"	"10"
"maxyear"	"2002"
"redshift"	"0.085"
"sndec"	"-00:53:18.2"
"snra"	"02:34:10.36"
"photometry"	"timeunit"	"MJD"	"time"	"52561.5"	"abmag"	"18.2"	"source"	"4,3"
"photometry"	"timeunit"	"MJD"	"time"	"52562.49"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52565.0"	"band"	"C"	"abmag"	"18.2"	"source"	"1,2"
