"name"	"SN2001ey"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07700/07735.html#Item2'>IAUC 7735</a>"	"alias"	"4"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"5"
"aliases"	"SN2001ey"
"claimedtype"	"IIn"
"discoverday"	"15"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"10"
"discoveryear"	"2001"
"galdec"	"-062339"
"galra"	"222630"
"host"	"MCG -1-57-10"
"hvel"	"7558"
"maxday"	"15"
"maxmonth"	"10"
"maxyear"	"2001"
"redshift"	"0.0255"
"sndec"	"-06:23:28.6"
"snra"	"22:26:30.77"
"photometry"	"timeunit"	"MJD"	"time"	"52197.5"	"abmag"	"17.6"	"source"	"4,3"
"photometry"	"timeunit"	"MJD"	"time"	"52198.17"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52202.87"	"band"	"R"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52220.11"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
