"name"	"SN2008ep"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001400/CBET001459.txt'>CBET 1459</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008ep"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"Tom Boles"
"discovermonth"	"8"
"discoveryear"	"2008"
"galdec"	"+433853"
"galra"	"011739"
"host"	"UGC 826"
"hvel"	"5988"
"maxday"	"2"
"maxmonth"	"8"
"maxyear"	"2008"
"redshift"	"0.02"
"sndec"	"+43:38:38.9"
"snra"	"01:17:40.68"
"photometry"	"timeunit"	"MJD"	"time"	"54680.5"	"abmag"	"17.9"	"source"	"2,1"
