"name"	"SN2000ci"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/07400/07424.html#Item1'>IAUC 7424</a>"	"alias"	"4"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"5"
"aliases"	"SN2000ci"
"claimedtype"	"unk"
"discoverday"	"11"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"5"
"discoveryear"	"2000"
"galdec"	"+673535"
"galra"	"174413"
"host"	"NGC 6470"
"hvel"	"8120"
"maxday"	"11"
"maxmonth"	"5"
"maxyear"	"2000"
"redshift"	"0.0275"
"sndec"	"+67:35:46.3"
"snra"	"17:44:13.21"
"photometry"	"timeunit"	"MJD"	"time"	"51675.5"	"abmag"	"18.1"	"source"	"4,3"
"photometry"	"timeunit"	"MJD"	"time"	"51676.28"	"band"	"C"	"abmag"	"18.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51679.99"	"band"	"R"	"abmag"	"18.5"	"source"	"1,2"
