"name"	"SN2003T"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"25"
"discoverer"	"LOTOSS"
"discovermonth"	"1"
"discoveryear"	"2003"
"galdec"	"+164433"
"galra"	"091413"
"host"	"UGC 4864"
"hvel"	"8293"
"maxday"	"31"
"maxmonth"	"1"
"maxyear"	"2003"
"redshift"	"0.0281"
"sndec"	"+164448.0"
"snra"	"091411.06"
"photometry"	"timeunit"	"MJD"	"time"	"52664.4"	"band"	"C"	"abmag"	"18.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52666.4"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52670.16"	"band"	"R"	"abmag"	"17.8"	"source"	"1,2"
